jawaban,jawaban_benar,kebenaran
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/peradilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebikjasanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hidmat dalam kebijaksanaan perwakilan.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmah kebijaksanaan dalam permusyawaratan perwakilan.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmah kebijaksanaan dalam permusyawaratan perwakilan.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh khidmat kebijaksanaan dalam permusyawaratan perwakilan.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan... dst.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,0
"Taqwa kepada tuhan yang maha esa, ,","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",1
"Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
"Takwa kepada Tuhan Yang Maha Esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran perkataan dan perbuatan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
"ngga ada pramuka, sekolah di Muhammadiyah adanya hizbul wathan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",0
"Cinta alam dan sesama manusia. 
Patriot dan rela berkoban. 
Suka menolong dan rajin menabung.","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",1
Tidak tahu,"Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",0
"Taqwa kepada Tuhan Yang Maha Esa, Cinta alam dan kasih sayang sesama manusia, rajin menabung dan bersuka cita","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",1
menjaga kesucian,"Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",0
"Bertakwa kepada Tuhan Yang Maha Esa, cinta alam dan kasih sayang sesama manusia, disiplin berani dan setia","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",1
"1: Cinta kepada Tuhan yg Maha Esa
2: kasih sayang sesama manusia
10: Bertanggung Jawab dan Dapat dipercaya","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
"1: Cinta kepada Tuhan yg Maha Esa
2: kasih sayang sesama manusia
10: Bertanggung Jawab dan Dapat dipercaya","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
"Takwa ke pada tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan, dan perbuatan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
Suci dalam pikiran perbuatan dan perkataan.,"Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",1
"Takq
wa kepada kepada tuhan YME, Cinta alam dan kasih sayang sesama manusia, suci pikiran perkataan dan perbuatan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
"Bertakwa kpd tuhan yang maha esa, cinta tanah air dan sesama manusia, suci pikiran perkataan perbuatan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
Anjir udh lupa,"Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",0
"Kalau nggak salah, 1 itu taqwa kepada Tuhan Yang Maha Esa, 2 itu cinta alam dan kasih sayang sesama manusia, dan 10 itu suci dalam pikiran, perkataan, dan perbuatan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
Taqwa kepada tuhan yg maha esa; cinta alam dan kasih sayang sesama manusia; suci dalam pikiran perkataan dan perbuatan,"Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
"Jujur dalam pikiran, perkataan, dan perbuatan.","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",0
"Taqwa kepada Tuhan yang maha Esa, Cinta alam dan kasih sayang sesama manusia, dan suci dalam pikiran perkataan dan perbuatan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
"Apa itu pramuka, gajelas","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",0
Tempat pertukaran gas antara lingkungan dan daun,Pertukaran gas atau alat pernapasan daun,2
Alat pernapasan daun,Pertukaran gas atau alat pernapasan daun,2
Tempat keluar masuknya udara,Pertukaran gas atau alat pernapasan daun,2
Membantu proses fotosintesis,Pertukaran gas atau alat pernapasan daun,2
Untuk bernafas,Pertukaran gas atau alat pernapasan daun,2
Mengambil CO2 dari udara,Pertukaran gas atau alat pernapasan daun,2
Memasak,Pertukaran gas atau alat pernapasan daun,0
Respirasi,Pertukaran gas atau alat pernapasan daun,0
Jalur masuk keluarnya udara yang dibutuhkan untuk proses transpirasi dan evaporasi,Pertukaran gas atau alat pernapasan daun,0
Jalur masuk keluarnya udara yang dibutuhkan untuk proses transpirasi dan evaporasi,Pertukaran gas atau alat pernapasan daun,0
"Sebagai t4 terjadinya pertukaran zat yang dibutuhkan untuk fotosintesis, seperti uap air, karbondioksida, dan oksigen",Pertukaran gas atau alat pernapasan daun,0
Menangkap CO2,Pertukaran gas atau alat pernapasan daun,0
Keluar masuknya udara,Pertukaran gas atau alat pernapasan daun,0
pertukaran gas dlm fotosintesis,Pertukaran gas atau alat pernapasan daun,1
Respirasi,Pertukaran gas atau alat pernapasan daun,2
respirasi tumbuhan,Pertukaran gas atau alat pernapasan daun,2
"Stomata juga disebut sebagai mulut daun, pada daun itu buat respirasi. Respirasi daun itu ketika daun mengambil CO2 buat proses pembuatan O2. Nah saat sudah selesai O2 nya dilepaskan lewat stomata.",Pertukaran gas atau alat pernapasan atau respirasi daun,2
Respirasi,Pertukaran gas atau alat pernapasan daun,2
Alat pernapasan,Pertukaran gas atau alat pernapasan daun,2
sebagai daun berrespirasi,Pertukaran gas atau alat pernapasan daun,2
Untuk bernafas,Pertukaran gas atau alat pernapasan daun,2
9 agustus 1945,9 Agustus 1945,2
9 Agustus 1945,9 Agustus 1945,2
9 Agustus 1945,9 Agustus 1945,2
1945,9 Agustus 1945,1
9 Agustus 1945,9 Agustus 1945,2
9 Agustus 1945,9 Agustus 1945,2
14 Agustus 1945,9 Agustus 1945,2
9 Agustus 1945,9 Agustus 1945,2
6 08 45,9 Agustus 1945,0
9 Agustus 1945,9 Agustus 1945,2
9 Agustus 1945,9 Agustus 1945,2
9 agust 1945,9 Agustus 1945,2
pas tentara mau ngejatohin,9 Agustus 1945,0
Bom Hiroshima-Nagasaki itu tanggal 6 sama 9 Agustus 1945. Ya mungkin diantara kedua itu. Kayaknya 6 Agustus 1945.,9 Agustus 1945,0
8 Agustus 1945,9 Agustus 1945,0
9 Agustus 1945,9 Agustus 1945,2
9 agustis 1945,9 Agustus 1945,2
1945,9 Agustus 1945,1
"Melindungi segenap bangsa indonesia, memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, ikut melestarikan ketertiban dunia","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",2
Adil makmur berdaulat,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",0
"Bersatu, berdaulat, adil dan makmur.","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",0
"Melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia, mencerdasrkan kehidupan bangsa, melaksanakan ketertiban dunia (cuma tau itu hehe)","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",2
"Melindungi segenap tumpah darah Indonesia.
Mencerdaskan kehidupan bangsa.
Memajukan kesejahteraan umum.
Melaksanakan ketertiban dunia.","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",2
"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",2
Mencerdaskan kehidupan Bangsa,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
"meningkatkan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan turut serta menjaga perdamaian internasional","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
"Melindungi segenap bangsa dan seluruh tumpah darah Indonesia, memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, ikut dalam perdamaian dunia.","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",2
"Mencerdaskan kehidupan bangsa, ikut serta dalam menciptakan perdamaian dunia,","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
"Mencerdaskan kehidupan bangsa, ikut serta dalam menciptakan perdamaian dunia,","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
"Melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia, perdamaian abadi, dan keadilan sosial","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",
Mencerdaskan kehidupan bangsa,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
Mencerdaskan kehidupan bangsa,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
di pembukaan uud 1945,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",0
Mencerdaskan kehidupan bangsa dan ikut melaksanakan ketertiban dunia,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
mewujutkan cita cita bangsa berasaskan ketuhanan,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
"Tujuan nasional Bangsa Indonesia setahu saya tertulis dalam pembukaan UUD 1945 alinea ke 4. Melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia, memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan turut untuk melaksanakan ketertiban dunia yang berdasarkan kemerdekaan, perdamaian abadi, dan keadilan sosial.","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",2
Mencerdaskan kehidupan bangsa dan ikut melaksanakan ketertiban dunia,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
"Memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, ikut melaksanakan ketertiban dunia, perdamaian abadi, keadilan sosial","melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",1
menciptakan keadilan dan kemakmuran,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",0
Alinea 4 pembukaan UUD 1945,"melindungi segenap bangsa indonesia dan seluruh tumpah darah indonesia, dan untuk memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa, dan ikut melaksanakan ketertiban dunia yang berdasar kemerdekaan, perdamaian abadi dan keadilan sosial",0
Baharudin Jusuf Habiebie,Habiebie,2
BJ Habibie,Habiebie,2
B. J. Habiebie,Habiebie,2
B.J. Habibie,Habiebie,2
B.J. Habibie,Habiebie,2
B.J. Habibie,Habiebie,2
B.J. HABIBIE,Habiebie,2
BJ Habibi,Habiebie,2
B.J. Habibie,Habiebie,2
BJ Habibie,Habiebie,2
BJ Habibie,Habiebie,2
BJ. Habibie,Habiebie,2
BJ Habibie,Habiebie,2
Habibi,Habiebie,2
bj habibie,Habiebie,2
Habibi (dan ainun),Habiebie,1
abdurahman wahid,Habiebie,0
Bapak B.J Habibie,Habiebie,2
B. J. Habibie,Habiebie,2
BJ Habibie,Habiebie,2
BJ Habibie,Habiebie,2
Habibie apa gusdur ya?,Habiebie,1
