correct_ans_word,word_diff,cos_sim_all,jac_sim_all,cos_sim_en,jac_sim_en,cos_sim_key,jac_sim_key,out
9,0,1.0,1.0,1.0,1.0,1.0,1.0,2
9,0,1.0,1.0,1.0,1.0,1.0,1.0,2
9,0,0.889,0.636,1.0,1.0,0.289,0.1,2
9,0,1.0,1.0,1.0,1.0,1.0,1.0,2
9,7,0.236,0.0,0.707,0.5,0.408,0.143,0
19,12,0.445,0.19,0.667,0.5,0.354,0.154,1
19,0,1.0,1.0,1.0,1.0,1.0,1.0,2
19,0,1.0,0.636,0.866,0.75,0.889,0.571,2
19,10,0.0,0.0,0.333,0.2,0.236,0.111,0
19,5,0.488,0.111,0.333,0.2,0.497,0.222,1
19,17,0.0,0.0,0.577,0.333,0.236,0.091,0
19,1,0.732,0.296,0.289,0.167,0.743,0.375,1
19,17,0.0,0.0,0.577,0.333,0.167,0.083,0
19,2,0.751,0.36,0.667,0.5,0.804,0.375,1
19,1,0.6,0.2,0.667,0.5,0.583,0.267,1
19,1,0.6,0.2,0.667,0.5,0.583,0.267,1
19,1,0.93,0.682,1.0,1.0,0.944,0.833,2
19,13,0.624,0.143,0.577,0.333,0.354,0.25,1
19,1,0.791,0.417,0.866,0.75,0.791,0.471,2
19,3,0.709,0.417,0.577,0.4,0.544,0.278,2
19,16,0.0,0.0,0.408,0.25,0.136,0.077,0
19,10,0.769,0.433,0.667,0.5,0.544,0.278,2
19,0,0.905,0.5,0.866,0.75,0.757,0.412,2
19,13,0.535,0.143,0.577,0.333,0.354,0.25,0
19,1,0.942,0.636,0.775,0.6,0.743,0.294,2
19,15,0.0,0.0,0.408,0.25,0.136,0.077,0
6,1,0.463,0.182,0.408,0.25,0.5,0.333,2
6,3,0.707,0.286,0.408,0.25,0.236,0.125,2
6,2,0.0,0.0,0.577,0.333,0.204,0.111,2
6,3,0.0,0.0,0.408,0.25,0.408,0.25,2
6,4,0.0,0.0,0.577,0.333,0.408,0.167,2
6,2,0.0,0.0,0.408,0.25,0.236,0.125,2
6,5,0.0,0.0,0.408,0.25,0.289,0.143,0
6,5,0.0,0.0,0.408,0.25,0.577,0.143,0
6,5,0.0,0.0,0.577,0.333,0.289,0.167,0
6,5,0.0,0.0,0.577,0.333,0.289,0.167,0
6,9,0.105,0.0,0.289,0.167,0.354,0.2,0
6,4,0.0,0.0,0.333,0.2,0.408,0.111,0
6,3,0.0,0.0,0.577,0.333,0.408,0.25,0
6,2,0.408,0.111,0.577,0.333,0.612,0.25,1
6,5,0.0,0.0,0.408,0.25,0.577,0.143,2
6,4,0.0,0.0,0.577,0.333,0.471,0.286,2
8,23,0.261,0.03,0.258,0.143,0.386,0.133,2
6,5,0.0,0.0,0.408,0.25,0.577,0.143,1
6,4,0.577,0.143,0.408,0.25,0.289,0.143,2
6,3,0.236,0.125,0.577,0.333,0.236,0.125,2
6,4,0.0,0.0,0.577,0.333,0.408,0.167,2
3,0,1.0,0.5,1.0,1.0,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,2,0.707,0.333,0.707,0.333,1.0,1.0,1
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,0.816,0.5,0.707,0.4,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,0.0,0.0,0.707,0.333,1.0,1.0,0
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,0.5,0.5,0.707,0.333,1.0,1.0,2
3,1,0.0,0.0,0.5,0.25,0.447,0.2,0
3,15,0.603,0.125,0.632,0.333,0.447,0.25,0
3,0,1.0,0.5,1.0,0.5,1.0,1.0,0
3,2,0.707,0.333,0.707,0.333,1.0,1.0,1
30,16,0.59,0.414,0.667,0.5,0.678,0.5,2
30,27,0.0,0.0,0.408,0.25,0.125,0.053,0
30,25,0.264,0.032,0.408,0.25,0.25,0.062,0
30,11,0.646,0.314,0.408,0.25,0.401,0.286,2
30,16,0.63,0.171,0.408,0.25,0.722,0.556,2
30,8,0.912,0.741,1.0,1.0,0.829,0.688,2
30,27,0.341,0.034,0.577,0.333,0.5,0.25,1
30,18,0.468,0.219,0.577,0.333,0.442,0.278,1
30,12,0.758,0.452,0.333,0.2,0.65,0.474,2
30,21,0.344,0.125,0.577,0.333,0.612,0.375,1
30,21,0.344,0.125,0.577,0.333,0.612,0.375,1
30,5,0.947,0.667,1.0,1.0,0.935,0.875,2
30,27,0.341,0.071,0.577,0.333,0.5,0.25,1
30,27,0.341,0.071,0.577,0.333,0.5,0.25,1
30,26,0.0,0.0,0.577,0.333,0.177,0.059,0
30,22,0.626,0.25,0.577,0.333,0.612,0.375,1
30,24,0.104,0.032,0.577,0.333,0.125,0.053,1
30,13,0.838,0.426,0.289,0.167,0.639,0.52,2
30,22,0.626,0.25,0.577,0.333,0.612,0.375,1
30,16,0.591,0.367,0.577,0.333,0.829,0.688,1
30,26,0.369,0.069,0.408,0.25,0.289,0.056,0
30,25,0.0,0.0,0.408,0.25,0.144,0.056,0
1,2,0.577,0.333,0.707,0.5,0.707,0.5,2
1,1,0.0,0.0,0.408,0.25,0.408,0.25,2
1,0,0.0,0.0,0.5,0.333,0.5,0.333,2
1,1,0.0,0.0,0.707,0.5,0.408,0.25,2
1,2,0.0,0.0,0.5,0.333,0.408,0.25,1
1,1,0.0,0.0,0.408,0.25,0.408,0.25,0
1,2,0.0,0.0,0.5,0.2,0.5,0.333,2
1,2,0.0,0.0,0.5,0.2,0.5,0.333,2
1,1,0.0,0.0,0.408,0.25,0.408,0.25,2
1,1,0.0,0.0,0.408,0.25,0.408,0.25,2
1,3,0.0,0.0,0.408,0.25,0.408,0.25,1
